score_file,scenario_id,runtime_view,driver,cli_mode,gate_passed,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,runtime_protocol_version,ordo_cli_version,canonical_ir_hash,targets_manifest_hash,session_trace_hash
scenario_007_json_score.json,scenario_007,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:8b9017daeb8a192ad2a17aa131f2328f1d256f88d11974a3caed377ea021c398
scenario_007_ordo-code_score.json,scenario_007,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:733fdfe83f5acd772324171b3185dec8b040c099612e9c9bcdba31f546668136
scenario_008_json_ordo-code_score.json,scenario_008,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:765e31234fe695b118ee901946986c0f3ab6af453da318abc4116c563c55e8c1
scenario_008_json_score.json,scenario_008,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:6d75cffb69f8825a8003e3ad5400a835679728a7b20db7c6824b99c23c9ec805
scenario_008_ordo-code_score.json,scenario_008,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:c1a5553519e2a9f95827b6b68ead07fedec31480970d4724f31028f2a7d965cf
scenario_009_json_ordo-code_score.json,scenario_009,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:0e5cabb644630c36b409b1164bade91ce0ba71df410ab43f5a6ba86a57f1f6b5
scenario_009_json_score.json,scenario_009,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:15f8250d5bda79d4e10f632d189a89551e208d26dabe6afe9418ac106147863b
scenario_009_ordo-code_score.json,scenario_009,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:cc8520cf80d22d196c415d1e20751545b0e37eb5326d6cdb6a79e172996d5a69
scenario_010_json_ordo-code_score.json,scenario_010,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:40105ae44113b3c44b78e6003fb5f0758d5e80af2e13a6bcbca9aa59de8242ec
scenario_010_json_score.json,scenario_010,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:08692871f8d7525efd761dc9020afc2e904effa4dc69239821f04e493a556bb1
